ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.0805,4.5105,8.4141,-1.6945,4.4467,8.5747,-0.4467,0.0889,-0.0926,0.0209,-0.0068,-0.0028,4614.0,10.38,-38.65,-28.26,191.56,-26.96,11.18,3.1,996.54,48.597,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,22,2020-02-15 08:46:39:203
3.9754,-4.2627,8.0621,5.3505,1.9361,7.9871,-5.5465,-0.0691,2.1784,1.8544,-2.3568,-0.1381,33459.0,-9.85,-21.55,-41.13,184.4,-1.15,-15.92,3.1,996.54,50.478,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,522,2020-02-15 08:46:39:703
1.7477,-6.0798,3.9694,9.3041,-2.0032,2.3647,4.1599,-1.2086,-2.611,2.1635,-0.6202,0.963,10023.0,-46.75,1.21,8.38,112.29,11.79,-75.74,3.1,996.54,53.48,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,1023,2020-02-15 08:46:40:204
13.8894,-7.6563,2.8262,7.1148,-6.4473,1.9956,-5.0817,6.2256,-1.5857,0.6513,-0.2304,1.1676,1025.0,-42.79,20.83,18.43,84.95,24.91,-82.53,0.0,996.6,65.348,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,1522,2020-02-15 08:46:40:703
-3.8341,0.5315,0.8858,5.753,-7.3038,-3.1189,7.1873,-8.9255,0.2447,0.2968,-2.3267,-0.2775,1.0,-23.66,34.9,27.7,125.63,66.67,-106.2,0.0,996.52,68.051,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,2022,2020-02-15 08:46:41:203
9.9068,-9.5489,-5.206,-0.9222,-9.7524,-0.4583,6.9847,4.0821,-5.853,-1.0877,0.6595,0.7166,5.0,-2.82,44.88,21.56,336.93,82.15,36.88,0.0,996.52,71.259,33.910473,-84.69902,960.03,NaN,,0.0,17.290323,,16 / 23,2522,2020-02-15 08:46:41:703
14.3538,-29.9909,-14.0306,0.3445,-9.7763,-0.6894,-6.1988,-10.3327,-1.4893,1.8314,-0.5153,3.1635,6.0,1.12,44.02,23.77,146.41,85.49,-153.45,0.0,996.46,54.247,33.910454,-84.69899,954.98,NaN,,16.6,13.832258,126.3,16 / 23,3022,2020-02-15 08:46:42:203
-4.0736,-11.8903,4.0341,1.3134,-9.7095,-0.4135,-7.6697,0.5647,-1.4979,2.1627,1.6984,0.8608,3.0,-12.12,26.8,37.57,129.44,52.35,-139.83,0.0,996.53,64.21,33.910454,-84.69899,954.98,NaN,,16.6,13.832258,126.3,16 / 23,3525,2020-02-15 08:46:42:706
-4.7726,6.0451,6.3515,1.8311,-8.4846,-4.5638,-3.6536,-3.5225,4.107,-3.3155,1.4985,-3.5597,6.0,3.67,28.0,38.33,130.37,59.9,-158.14,0.0,996.5,65.902,33.910427,-84.69895,953.66,NaN,,12.78,13.832258,126.8,16 / 23,4022,2020-02-15 08:46:43:203
-8.1052,-35.0891,-3.0896,0.5942,-9.2696,-3.145,3.1777,4.7486,0.6211,-3.8841,-1.1122,-2.017,6.0,13.62,44.12,17.0,294.96,74.99,53.67,0.0,996.55,66.508,33.910427,-84.69895,953.66,NaN,,12.78,13.832258,126.8,16 / 23,4522,2020-02-15 08:46:43:703
