ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.176,5.7027,8.8725,-0.925,5.2136,8.2543,-2.6483,1.4418,-0.4092,-0.6715,-0.6875,0.4947,1.0,-10.09,-14.88,-46.24,57.83,-36.08,13.46,3.1,996.79,25.946,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,13 / 22,15,2020-02-15 08:53:35:861
-1.6687,3.906,9.6734,-1.2681,3.3853,9.1161,-0.0305,0.6516,0.4179,0.3906,-0.111,0.0682,2.0,-15.39,-2.0,-47.89,59.48,-19.33,8.78,3.1,996.78,42.077,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,515,2020-02-15 08:53:36:361
-1.6962,3.8102,9.1036,-1.0935,4.0512,8.8635,-0.4224,-0.1666,0.5875,-0.1542,1.0346,0.0605,2.0,-17.61,-3.16,-47.27,56.51,-24.4,7.03,3.1,996.79,53.52,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,1015,2020-02-15 08:53:36:861
0.4968,5.2048,8.4655,-0.01,4.8662,8.5141,0.9381,0.6866,2.1502,-0.7978,-0.2497,-0.9964,3.0,-21.46,-11.3,-43.55,53.47,-34.69,-2.16,3.1,996.76,56.01,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,1516,2020-02-15 08:53:37:362
-0.7649,4.4339,8.4057,-0.529,4.8976,8.4796,-0.3824,2.2024,0.2511,0.2833,0.1754,-0.0539,4.0,-19.51,-12.5,-44.26,64.32,-29.96,3.57,3.1,996.75,57.665,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,2014,2020-02-15 08:53:37:860
-1.391,5.1641,8.9132,-0.9754,5.1387,8.2953,1.5834,1.0393,3.0408,0.4493,-0.1209,-1.1557,6.0,-18.47,-20.45,-39.52,72.64,-32.04,3.01,3.1,996.72,42.813,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,2514,2020-02-15 08:53:38:360
-1.7106,7.8131,11.5815,-0.5277,4.6777,8.603,-0.831,3.5506,1.1924,-0.668,-0.758,-0.8866,11.0,-16.55,-27.73,-35.73,112.56,-28.49,3.51,3.1,996.71,41.681,33.910065,-84.698944,914.35,NaN,,1.4,10.374194,20.1,14 / 22,3015,2020-02-15 08:53:38:861
-0.735,4.4901,4.7966,-1.3548,6.5118,7.2063,0.831,-2.928,-1.4338,1.0365,-0.8175,-0.6582,12.0,-10.96,-36.66,-30.35,129.93,-36.39,9.86,3.1,996.69,46.483,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,3514,2020-02-15 08:53:39:360
-0.9684,5.5184,5.8404,0.2039,5.8788,7.8466,-0.6633,-1.3907,-1.3208,0.0581,-0.4819,-0.4469,6.0,-14.0,-39.7,-24.83,141.56,-36.83,-1.49,3.1,996.68,59.366,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,4016,2020-02-15 08:53:39:862
0.4525,3.803,4.1238,-0.4112,6.9606,6.8958,0.6461,-3.018,-2.2953,0.7439,0.2903,0.3754,8.0,-14.67,-41.18,-24.74,135.01,-39.36,3.31,3.1,996.65,52.795,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,4514,2020-02-15 08:53:40:360
0.6165,4.3345,4.4937,-0.0828,6.042,7.7239,0.0423,-0.9308,-0.5587,-0.0528,0.0245,-0.5143,9.0,-14.02,-42.07,-24.37,142.21,-38.03,0.61,3.1,996.64,60.588,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,5015,2020-02-15 08:53:40:861
0.4728,4.9163,6.6879,-0.0241,6.1992,7.5987,-0.4016,0.3779,2.7781,0.6502,0.7066,0.4472,7.0,-13.55,-40.13,-23.56,138.39,-39.21,0.18,3.1,996.62,51.588,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,5514,2020-02-15 08:53:41:360
-1.0953,4.9582,6.4665,0.1796,6.1232,7.6579,0.7852,1.8243,1.3597,-0.5798,0.7745,-1.1306,9.0,-6.96,-42.77,-22.72,161.34,-38.64,-1.34,3.1,996.6,52.974,33.91007,-84.69894,920.9,NaN,,1.26,10.374194,32.0,15 / 22,6014,2020-02-15 08:53:41:860
-0.0706,6.8256,13.061,-0.0357,5.7229,7.9635,0.3081,2.2511,5.4656,0.4743,1.0701,0.3563,9.0,-10.04,-41.07,-25.78,155.66,-35.06,-3.77,3.1,996.59,48.815,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,6514,2020-02-15 08:53:42:360
1.3419,7.527,10.3569,0.0528,6.0412,7.7248,0.3156,1.4282,3.1542,-0.767,-0.3791,-0.4177,10.0,-8.22,-41.61,-22.62,157.45,-38.03,-0.39,3.1,996.56,39.511,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,7015,2020-02-15 08:53:42:861
-0.4477,7.3092,6.3599,-0.4725,6.0426,7.7093,0.2629,-0.3688,-1.9934,0.2239,-0.39,-0.2433,10.0,-2.52,-42.58,-24.1,165.84,-36.5,5.23,3.1,996.55,38.432,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,7514,2020-02-15 08:53:43:360
1.3862,4.9965,4.8696,-1.4532,7.2567,6.4342,2.3326,-2.7525,-0.2422,1.2444,-0.6371,-0.8469,10.0,2.44,-46.25,-12.4,178.19,-47.73,12.73,3.1,996.51,39.97,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,8015,2020-02-15 08:53:43:861
-0.243,6.2689,9.094,-0.7575,6.2936,7.4824,-0.0922,0.2434,1.2547,-1.1947,-2.3133,-1.2346,10.0,17.2,-41.54,-15.04,221.53,-47.77,14.59,3.1,996.51,44.081,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,8515,2020-02-15 08:53:44:361
0.1089,2.4647,6.9956,0.4874,5.2121,8.2926,0.0602,-2.7691,-0.8736,1.0839,-1.6819,-1.9043,11.0,20.74,-12.95,-44.3,296.38,-32.11,-3.36,3.1,996.5,44.377,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,9016,2020-02-15 08:53:44:862
0.2023,5.3652,8.2106,1.1793,4.8041,8.4676,-1.1603,0.5437,0.9472,-0.0125,0.0992,-0.1017,12.0,6.9,-3.07,-49.49,323.89,-29.68,-9.66,3.1,996.51,39.693,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,9515,2020-02-15 08:53:45:361
0.9744,4.5069,6.7035,1.0982,4.9443,8.3975,-0.2131,0.2318,-0.5429,0.5384,-0.3641,0.0108,11.0,6.89,-2.48,-49.12,329.21,-30.28,-7.45,3.1,996.49,37.378,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,10014,2020-02-15 08:53:45:860
1.0187,4.2471,6.4461,0.757,5.0988,8.3427,0.4275,-0.5353,-1.5562,0.8341,0.3299,0.6424,11.0,8.89,3.52,-48.53,335.34,-26.21,-2.91,3.1,996.52,51.499,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,10514,2020-02-15 08:53:46:360
-0.9026,3.6917,7.1931,0.8882,5.1014,8.3281,-1.5922,-0.9611,-0.3027,-0.2751,-0.2026,-0.3153,11.0,10.5,-3.94,-49.65,325.15,-31.35,-6.09,3.1,996.55,48.153,33.910072,-84.69893,912.81,NaN,,0.97,10.374194,127.2,15 / 22,11015,2020-02-15 08:53:46:861
1.5155,4.1406,6.8387,0.2786,4.5214,8.6977,1.3886,1.2547,1.7711,0.4745,0.1809,0.4114,11.0,11.88,-0.66,-47.66,326.55,-26.08,-1.5,3.1,996.56,56.494,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,15 / 22,11514,2020-02-15 08:53:47:360
0.7446,3.8485,7.3128,0.7124,4.6936,8.5809,-0.3037,0.8048,-1.2343,0.4313,-0.14,-0.1617,10.0,10.6,-3.31,-48.29,323.01,-28.6,-4.75,3.1,996.58,45.037,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,15 / 22,12015,2020-02-15 08:53:47:861
0.8176,4.4698,6.8076,0.5746,5.2529,8.2612,0.96,0.0932,-1.8678,0.6812,0.2554,0.2438,9.0,8.01,-1.98,-48.88,332.02,-27.98,-3.67,3.1,996.6,58.234,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,16 / 22,12515,2020-02-15 08:53:48:361
-0.0036,5.0575,7.9185,1.1342,5.4524,8.0719,0.0141,0.7056,-1.3067,-0.0777,-0.1263,0.149,8.0,10.17,-7.68,-48.25,318.9,-33.78,-8.0,3.1,996.63,47.942,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,16 / 22,13014,2020-02-15 08:53:48:860
1.0414,5.097,5.6094,0.5796,5.3846,8.1756,0.2857,0.7045,0.965,-0.0053,0.5652,0.8814,7.0,12.08,-4.72,-47.77,323.49,-34.04,-5.19,3.1,996.65,51.884,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,16 / 22,13515,2020-02-15 08:53:49:361
-0.4549,5.3041,6.9561,0.8596,5.2544,8.2355,-0.0513,0.5345,0.0683,-0.0075,0.4894,0.468,7.0,17.77,-9.65,-44.0,301.93,-32.4,-5.96,3.1,996.68,47.786,33.910065,-84.69894,928.59,NaN,,0.0,10.374194,,16 / 22,14014,2020-02-15 08:53:49:860
2.5437,5.2814,10.0253,1.5444,4.9472,8.3253,0.7482,0.2416,1.2336,0.3986,0.0019,1.365,7.0,15.11,-14.76,-43.91,291.3,-30.71,-8.23,3.1,996.71,50.51,33.91006,-84.698944,929.47,NaN,,4.03,10.374194,234.1,16 / 22,14514,2020-02-15 08:53:50:360
1.3024,4.1669,6.2689,1.1881,5.4468,8.0679,-0.2538,-1.3854,-1.5137,0.3468,0.1127,0.7798,6.0,13.28,-32.21,-36.44,246.48,-33.74,-8.38,3.1,996.7,47.536,33.91006,-84.698944,929.47,NaN,,4.03,10.374194,234.1,16 / 22,15015,2020-02-15 08:53:50:861
-0.5542,6.1085,9.7272,1.0314,5.0824,8.3232,-1.0031,1.6959,1.3323,-0.8085,0.5933,0.1701,5.0,14.07,-37.6,-35.3,239.2,-36.06,-10.14,3.1,996.73,44.703,33.91006,-84.698944,929.47,NaN,,4.03,10.374194,234.1,16 / 22,15515,2020-02-15 08:53:51:361
1.9356,6.1552,10.4526,1.2887,5.745,7.8425,0.622,-0.7142,0.2445,-0.1442,0.0857,0.1099,3.0,9.69,-40.25,-30.42,222.59,-35.86,-9.33,3.1,996.74,58.941,33.91006,-84.698944,929.47,NaN,,4.03,10.374194,234.1,16 / 22,16014,2020-02-15 08:53:51:860
-0.34,6.7968,9.6805,1.3323,5.2606,8.1683,-1.353,1.5797,1.2483,-0.8524,0.0937,0.2353,2.0,6.25,-41.21,-31.07,218.35,-37.11,-11.2,3.1,996.76,44.37,33.910057,-84.698944,931.45,NaN,,1.15,10.374194,234.2,16 / 22,16516,2020-02-15 08:53:52:362
1.8447,6.4389,10.8261,1.8106,5.4068,7.9787,-1.0526,0.3759,2.7108,0.2598,0.6853,0.9175,1.0,0.32,-38.93,-30.57,203.38,-33.46,-12.79,3.1,996.78,51.548,33.910057,-84.698944,931.45,NaN,,1.15,10.374194,234.2,16 / 22,17014,2020-02-15 08:53:52:860
2.0422,7.2314,9.4591,1.7488,5.9544,7.5932,0.6349,-0.4356,2.2134,0.984,1.0883,1.1301,1.0,-12.92,-41.08,-25.8,162.23,-34.61,-15.42,3.1,996.82,43.106,33.910057,-84.69894,932.15,NaN,,0.0,10.374194,,16 / 22,17515,2020-02-15 08:53:53:361
-0.2622,3.9347,10.0265,0.1956,5.2173,8.3013,-1.6297,-1.4165,1.0956,0.1986,1.3318,2.1452,1.0,-20.66,-31.09,-35.54,139.14,-29.48,-1.42,3.1,996.8,37.307,33.910057,-84.69894,932.15,NaN,,0.0,10.374194,,16 / 22,18015,2020-02-15 08:53:53:861
0.2741,4.9797,8.5362,-0.6519,4.6706,8.5983,0.7808,0.3782,-0.0202,0.1421,0.3433,0.3964,1.0,-17.36,-12.55,-44.43,68.52,-27.27,4.3,3.1,996.82,37.994,33.910057,-84.69894,932.15,NaN,,0.0,10.374194,,16 / 22,18514,2020-02-15 08:53:54:360
0.7326,3.9132,8.4607,-0.2619,4.3698,8.7754,0.576,0.0792,0.4204,0.2138,-0.228,-0.2817,1.0,-17.27,-12.28,-42.55,65.88,-26.46,1.71,3.1,996.82,48.734,33.910057,-84.69894,932.15,NaN,,0.0,10.374194,,16 / 22,19016,2020-02-15 08:53:54:862
-1.9201,6.397,12.2781,-0.3712,5.2818,8.2544,-0.2582,1.4447,0.6838,0.0381,-0.3075,-0.0332,2.0,-17.48,-14.86,-42.55,66.19,-31.18,3.91,3.1,996.8,53.94,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,19514,2020-02-15 08:53:55:360
1.4472,6.0978,10.1414,-0.5308,5.8654,7.8413,0.6555,-1.1304,0.1958,0.0978,-0.1776,-0.02,5.0,-18.25,-15.74,-41.22,62.23,-36.73,3.87,3.1,996.77,50.477,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,20014,2020-02-15 08:53:55:860
-0.8188,6.8986,7.8179,-0.7023,4.8986,8.4665,-0.201,1.4412,-1.3292,0.0352,-0.5713,-0.5074,5.0,-16.16,-17.02,-43.04,74.7,-30.02,6.68,3.1,996.75,45.843,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,20514,2020-02-15 08:53:56:360
-0.6955,3.7563,5.2993,-1.1992,5.3514,8.1298,0.6987,-1.7894,-1.9228,0.616,-0.119,-0.4633,10.0,-15.77,-23.4,-37.36,91.55,-33.07,8.39,3.1,996.74,50.149,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,21015,2020-02-15 08:53:56:861
-1.2018,4.6697,6.7526,-1.5017,4.5474,8.5578,0.5179,0.6452,1.7303,-0.1406,0.1874,-1.3762,12.0,-11.93,-29.89,-34.41,123.73,-29.36,5.36,3.1,996.72,47.727,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,21515,2020-02-15 08:53:57:361
-1.4676,6.3647,9.3071,-2.4536,6.3233,7.0828,-2.559,1.2009,2.3347,0.0345,-0.5129,0.0565,7.0,-6.08,-39.53,-28.42,134.9,-40.15,19.11,3.1,996.71,41.602,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,15 / 22,22014,2020-02-15 08:53:57:860
0.1424,8.2297,8.7756,-1.0239,6.081,7.6252,-0.1305,1.8501,2.1056,-0.4808,-1.1127,-0.2515,9.0,-10.42,-41.78,-26.74,134.25,-41.45,14.11,3.1,996.68,59.185,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,22515,2020-02-15 08:53:58:361
-5.1724,8.1555,9.3921,-0.7393,5.6732,7.9648,-2.3584,2.2638,0.7924,0.1879,-0.4179,-0.1893,9.0,-3.21,-44.63,-25.13,166.73,-35.35,5.3,3.1,996.66,55.639,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,23016,2020-02-15 08:53:58:862
-0.9157,5.844,7.1643,-1.7432,6.6442,6.999,1.3353,-2.7742,-1.6914,0.3846,0.3593,0.3503,9.0,-2.97,-45.87,-21.32,161.11,-39.96,13.22,3.1,996.65,45.874,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,23514,2020-02-15 08:53:59:360
-1.0211,4.9498,5.1365,-0.8411,5.5554,8.0374,0.4292,-0.8172,-3.2183,0.243,-0.6106,-0.1541,10.0,-2.03,-42.25,-26.82,166.18,-34.51,5.97,3.1,996.62,56.429,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,24016,2020-02-15 08:53:59:862
-0.401,3.5816,5.1234,-1.5671,6.5433,7.1345,1.2395,-2.9456,-2.1068,0.8242,0.0306,0.269,10.0,-1.25,-41.94,-25.31,162.43,-36.32,11.98,3.1,996.6,48.973,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,24514,2020-02-15 08:54:00:360
0.3914,5.5244,7.7066,-0.9887,5.2849,8.2014,0.5965,0.0913,-0.5628,-0.4523,-0.0374,-0.3415,10.0,-1.42,-40.26,-27.16,167.66,-32.61,6.87,3.1,996.6,41.823,33.910065,-84.69893,934.85,NaN,,1.4,10.374194,234.2,16 / 22,25023,2020-02-15 08:54:00:869
-0.8451,4.0041,8.9515,-0.4771,4.8307,8.521,-0.2939,1.0061,2.7325,-0.1539,-0.2417,0.5156,10.0,-5.62,-38.48,-28.76,154.85,-30.54,5.2,3.1,996.58,46.558,33.910053,-84.69894,920.42,NaN,,1.69,10.374194,234.2,15 / 22,25515,2020-02-15 08:54:01:361
0.2047,6.0607,11.3049,-0.5028,4.959,8.4455,1.6559,0.9818,3.4233,-0.5856,-0.5888,-0.6783,11.0,-8.14,-36.85,-31.42,149.24,-30.38,3.41,3.1,996.56,48.591,33.910053,-84.69894,920.42,NaN,,1.69,10.374194,234.2,15 / 22,26015,2020-02-15 08:54:01:861
-2.9016,5.9876,7.8239,-2.3026,4.967,8.1362,0.7103,-0.8114,-1.9198,-0.3108,0.3849,-0.3847,11.0,6.61,-38.81,-26.8,178.19,-30.43,15.8,3.1,996.53,61.549,33.910053,-84.69894,920.42,NaN,,1.69,10.374194,234.2,15 / 22,26516,2020-02-15 08:54:02:362
-2.1092,3.9634,6.9465,-3.1145,5.4556,7.5304,0.9413,-1.4791,-0.3792,0.628,-0.3923,-0.2464,12.0,13.76,-39.05,-22.98,193.25,-33.8,22.47,3.1,996.53,37.311,33.910053,-84.69894,920.42,NaN,,1.69,10.374194,234.2,15 / 22,27016,2020-02-15 08:54:02:862
-3.3039,5.9206,7.5055,-2.7475,5.7945,7.4193,-0.5961,0.7484,0.4537,0.4018,-0.3086,-0.265,11.0,14.32,-37.63,-23.06,196.67,-34.54,20.89,3.1,996.52,28.437,33.910053,-84.69893,927.66,NaN,,0.0,10.374194,,15 / 22,27515,2020-02-15 08:54:03:361
